query,page,clicks,impressions,ctr,position
mohawk dispensary,https://potshops.ca/listing/green-leaf/,1,3,0.3333333333333333,9.333333333333334
mullein tea where to buy,https://potshops.ca/listing/the-green-leaf-society/,1,1,1,1
natural green dispensary,https://potshops.ca/listing/the-green-leaf-society/,1,3,0.3333333333333333,1.6666666666666665
peacemaker 420,https://potshops.ca/listing/peacemaker-420/,1,354,0.002824858757062147,7.929378531073446
potshops,https://potshops.ca/location/calgary/,1,3,0.3333333333333333,2
rick simpson oil near me,https://potshops.ca/listing/the-green-leaf-society/,1,1,1,1
rocket chronic,https://potshops.ca/listing/rocket-chronic-2/,1,1758,0.0005688282138794084,6.157565415244596
thc vape kahnawake,https://potshops.ca/listing/green-leaf/,1,3,0.3333333333333333,26.333333333333332
weed kanawake,https://potshops.ca/listing/green-leaf/,1,26,0.038461538461538464,8.846153846153847
#maryjanes,https://potshops.ca/listing/mary-janes-2/,0,2,0,8
+marijuana +doctor,https://potshops.ca/category/doctor/,0,6,0,84.66666666666667
104 harbord st,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,18,0,24.666666666666668
104 harbord st,https://potshops.ca/location/toronto/,0,1,0,31
1132 granville street,https://potshops.ca/listing/bloom-medical-dispensary/,0,9,0,9.11111111111111
1132 granville street,https://potshops.ca/location/vancouver/,0,1,0,9
1890 avenue road,https://potshops.ca/location/toronto/,0,1,0,90
1tonamara reviews,https://potshops.ca/listing/1tonamara/,0,2,0,26
1tonamara toronto,https://potshops.ca/listing/1tonamara/,0,102,0,10.147058823529411
1tonarama,https://potshops.ca/listing/1tonamara/,0,8,0,10
202 spadina,https://potshops.ca/listing/1tonamara/,0,31,0,56.12903225806452
202 spadina ave,https://potshops.ca/listing/1tonamara/,0,65,0,44.15384615384615
202 spadina avenue,https://potshops.ca/listing/1tonamara/,0,1,0,53
24 hour dispensary,https://potshops.ca/listing/the-green-leaf-society/,0,4,0,7.5
24 hour pharmacy near me,https://potshops.ca/listing/kaya-clinics-squamish/,0,1,0,1
24 hr dispensary,https://potshops.ca/listing/the-green-leaf-society/,0,1,0,4
2411 agricola street,https://potshops.ca/listing/coastal-cannapy/,0,1,0,97
260 wyse road,https://potshops.ca/location/dartmouth/,0,1,0,92
3 kings dispensary,https://potshops.ca/listing/3-kings-medicinal/,0,3,0,4.333333333333334
3449 dundas st w,https://potshops.ca/listing/piff-express/,0,1,0,51
3505 dundas street west,https://potshops.ca/location/toronto/,0,1,0,52
409 martin st penticton,https://potshops.ca/listing/green-essence-head-shop-dispensary/,0,27,0,8.592592592592592
409 martin street penticton,https://potshops.ca/listing/green-essence-head-shop-dispensary/,0,22,0,9.590909090909092
420 cannabis delta,https://potshops.ca/listing/420-delivery/,0,2,0,14.5
420 cannabis langley,https://potshops.ca/listing/420-delivery/,0,7,0,45.714285714285715
420 cannabis weed delivery surrey,https://potshops.ca/listing/420-delivery/,0,27,0,20.037037037037038
420 delivered,https://potshops.ca/listing/420-delivery/,0,2,0,88.5
420 deliveries,https://potshops.ca/listing/420-delivery/,0,67,0,32.67164179104478
420 weed delivery,https://potshops.ca/listing/420-delivery/,0,2,0,31.5
420-140,https://potshops.ca/listing/420-delivery/,0,1,0,9
420/140,https://potshops.ca/listing/420-delivery/,0,1,0,10
420delivery,https://potshops.ca/listing/420-delivery/,0,11,0,6
474 columbia street kamloops,https://potshops.ca/listing/medicinal-cannabis-resource-centre-inc-kamloops/,0,1,0,58
66 fort york blvd,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,54,0,19.944444444444443
68 fort york blvd,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,8,0,54.25
726 sydney ave kamloops,https://potshops.ca/category/mail-order/,0,1,0,101
9629 macleod trail s.w.,https://potshops.ca/location/calgary/,0,1,0,56
acmpr contact,https://potshops.ca/listing/medical-cannabis-group/,0,1,0,87
ahuevo vancouver,https://potshops.ca/location/vancouver/,0,43,0,13.023255813953488
ahuevo.is,https://potshops.ca/listing/ahuevo-premium-marijuana/,0,11,0,9.636363636363637
alberni cannabis,https://potshops.ca/listing/the-port-alberni-cannabis-club/,0,8,0,28.375
all dispensaries near me,https://potshops.ca/listing/the-green-leaf-society/,0,1,0,20
alter native,https://potshops.ca/listing/the-altered-native/,0,3,0,75.66666666666667
alter native cbd,https://potshops.ca/listing/the-altered-native/,0,1,0,22
alter native dispensary,https://potshops.ca/listing/the-altered-native/,0,23,0,5.608695652173913
alter native orangeville,https://potshops.ca/listing/the-altered-native/,0,10,0,16.4
alter native store,https://potshops.ca/listing/the-altered-native/,0,10,0,49.8
alter-native store,https://potshops.ca/listing/the-altered-native/,0,1,0,25
altered nation,https://potshops.ca/listing/the-altered-native/,0,5,0,81.2
altered nation cannabis,https://potshops.ca/listing/the-altered-native/,0,5,0,46.6
altered native,https://potshops.ca/listing/the-altered-native-2/,0,4,0,64.25
altered native,https://potshops.ca/listing/the-altered-native/,0,189,0,15.798941798941799
altered native orangeville,https://potshops.ca/listing/the-altered-native/,0,66,0,20.257575757575758
alternative orangeville,https://potshops.ca/listing/the-altered-native/,0,50,0,55.7
are there any dispensaries open right now,https://potshops.ca/location/nelson/,0,1,0,8
baldwin dispensary,https://potshops.ca/listing/1leaf-dispensary-baldwin/,0,8,0,10.25
bc cannabis port alberni,https://potshops.ca/listing/the-port-alberni-cannabis-club/,0,3,0,46.666666666666664
beard brothers,https://potshops.ca/listing/beard-brothers-society/,0,1,0,32
bendale ontario edibles,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,4,0,27.25
best bud,https://potshops.ca/listing/canadas-best-buds/,0,1,0,71
best buds canada,https://potshops.ca/listing/best-buds-forever-2/,0,1,0,68
best buds canada,https://potshops.ca/listing/canadas-best-buds/,0,3,0,28
best buds dispensary,https://potshops.ca/listing/best-buds-forever-2/,0,1,0,95
best buds dispensary,https://potshops.ca/listing/canadas-best-buds/,0,2,0,37.5
best buds forever,https://potshops.ca/listing/best-buds-forever-2/,0,3,0,21
best dispensary near me,https://potshops.ca/listing/the-green-leaf-society/,0,1,0,4
best online dispensary canada 2020,https://potshops.ca/listing/online-dispensary-canada/,0,18,0,61.77777777777778
bestbuds,https://potshops.ca/listing/best-buds-forever-2/,0,1,0,85
bestbuds,https://potshops.ca/listing/canadas-best-buds/,0,6,0,53.666666666666664
bestbuds dispensary,https://potshops.ca/listing/canadas-best-buds/,0,1,0,50
blessed cafe,https://potshops.ca/listing/blessed-herbs-cafe/,0,1,0,20
bloom cannabis,https://potshops.ca/listing/bloom-medical-dispensary/,0,1,0,5
bloom dispensary,https://potshops.ca/listing/bloom-medical-dispensary/,0,16,0,7.125
bloom medical,https://potshops.ca/listing/bloom-medical-dispensary/,0,14,0,65.57142857142857
bloom medicinal,https://potshops.ca/listing/bloom-medical-dispensary/,0,1,0,8
bloom medicinals,https://potshops.ca/listing/bloom-medical-dispensary/,0,1,0,60
bud and beyond,https://potshops.ca/listing/best-online-buds-store-budsandbeyond/,0,1,0,77
budd,https://potshops.ca/listing/tasty-budds-saint-john/,0,2,0,6
budds,https://potshops.ca/listing/mitsy-budds-express-drive-thru-dispensary/,0,1,0,12
buddys cannabis,https://potshops.ca/listing/buddys-cannabis-clinic/,0,4,0,60.5
buds and beyond,https://potshops.ca/listing/best-online-buds-store-budsandbeyond/,0,4,0,42
buds forever,https://potshops.ca/listing/best-buds-forever-2/,0,3,0,22
budsandbeyond,https://potshops.ca/category/mail-order/,0,1,0,9
burning leaf kahnawake,https://potshops.ca/listing/green-leaf/,0,4,0,13.5
buy clones canada,https://potshops.ca/listing/clone-corner/,0,2,0,73
buy pot calgary,https://potshops.ca/location/calgary/,0,10,0,63.7
buy weed online châteauguay,https://potshops.ca/listing/green-leaf/,0,26,0,60.26923076923077
c a f e dispensary,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,1,0,75
cafe 420 dispensary,https://potshops.ca/location/toronto/,0,1,0,12
cafe 66,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,17,0,63
cafe 66,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,10,0,42.3
cafe 66 fort york,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,42,0,10.452380952380953
cafe 66 toronto,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,21,0,37.23809523809524
cafe 66 toronto,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,1,0,37
cafe 66 toronto,https://potshops.ca/location/toronto/,0,1,0,42
cafe canabis,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,6,0,43.333333333333336
cafe canabis,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,3,0,73.66666666666667
cafe cannabis,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,10,0,51.5
cafe cannabis,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,15,0,73.93333333333334
cafe cannabis toronto,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,2,0,53
cafe cannibis,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,4,0,44.75
cafe cannibis,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,8,0,79.625
cafe dispensary,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,66,0,83.72727272727273
cafe dispensary,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,342,0,78.74853801169591
cafe dispensary fort york,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,27,0,25.51851851851852
cafe dispensary harbord,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,58,0,31.879310344827587
cafe dispensary hours,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,9,0,84.22222222222223
cafe dispensary locations,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,7,0,73.42857142857143
cafe dispensary near me,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,17,0,86.76470588235294
cafe dispensary toronto,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,18,0,41
"cafe dispensary toronto, on",https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,7,0,39.285714285714285
cafe dispensery,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,5,0,74.6
cafe dispo,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,1,0,65
cafe dispo,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,4,0,70
cafe edibles,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,18,0,20.72222222222222
cafe edibles,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,21,0,13.952380952380953
cafe fort,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,52,0,22.01923076923077
cafe fort york,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,311,0,42.68810289389067
cafe harbord,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,83,0,51.13253012048193
cafe harbord st,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,4,0,57
cafe harbord street,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,3,0,64.66666666666666
cafe on harbord,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,41,0,46.58536585365854
cafe pot,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,4,0,63.75
cafe toronto dispensary,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,21,0,41.904761904761905
