page,clicks,impressions,ctr,position
https://potshops.ca/listing/urban-earth-medicinal/,1,102,0.00980392156862745,22.774509803921568
https://potshops.ca/listing/weedoo/,1,33,0.030303030303030304,8.515151515151516
https://potshops.ca/location/calgary/,1,184,0.005434782608695652,67.95652173913044
https://potshops.ca/location/nelson/,1,470,0.002127659574468085,37.91914893617021
https://potshops.ca/blog/,0,16,0,1.9375
https://potshops.ca/bud-basics/,0,3,0,9.666666666666666
https://potshops.ca/category/dispensary/,0,55,0,30.618181818181817
https://potshops.ca/category/doctor/,0,44,0,46.72727272727273
https://potshops.ca/category/licensed-producer/,0,9,0,44.55555555555556
https://potshops.ca/category/mail-order/,0,20,0,53.5
https://potshops.ca/contact/,0,16,0,17.8125
https://potshops.ca/en/index.php,0,48,0,8.145833333333332
https://potshops.ca/how-to-choose-a-dispensary/,0,5,0,14.2
https://potshops.ca/legislation-coming/,0,1,0,14
https://potshops.ca/listing/1leaf-dispensary-baldwin/,0,61,0,12.278688524590164
https://potshops.ca/listing/3-kings-medicinal/,0,182,0,11.027472527472527
https://potshops.ca/listing/604-medicinals/,0,23,0,7.826086956521739
https://potshops.ca/listing/aaa-dispensary/,0,3,0,4.333333333333334
https://potshops.ca/listing/allevi8/,0,4,0,9
https://potshops.ca/listing/atlantic-medical/,0,8,0,7.625
https://potshops.ca/listing/bayshore-dispensary-more/,0,2,0,7
https://potshops.ca/listing/best-buds-forever-2/,0,46,0,26.32608695652174
https://potshops.ca/listing/black-crow-herbal-solutions-west-kelowna/,0,1,0,10
https://potshops.ca/listing/bloom-medical-dispensary/,0,70,0,22.214285714285715
https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,1154,0,33.73310225303293
https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,1263,0,48.94220110847189
https://potshops.ca/listing/canabo-halifax/,0,77,0,17.818181818181817
https://potshops.ca/listing/canadas-best-buds/,0,21,0,39.04761904761905
https://potshops.ca/listing/canna-farms-ltd/,0,90,0,25.966666666666665
https://potshops.ca/listing/cannabis-culture-920-davie/,0,253,0,30.067193675889328
https://potshops.ca/listing/cannabis-culture-davie/,0,1,0,11
https://potshops.ca/listing/cannabis-culture-west-broadway/,0,1,0,9
https://potshops.ca/listing/cannabis-express/,0,11,0,42.54545454545455
https://potshops.ca/listing/cannabis-on-cannon/,0,1,0,8
https://potshops.ca/listing/cannabliss/,0,14,0,28
https://potshops.ca/listing/cannamobile-2/,0,6,0,22.833333333333332
https://potshops.ca/listing/castle-naturals/,0,2,0,2
https://potshops.ca/listing/cmca/,0,5,0,44.4
https://potshops.ca/listing/community-cannabis-clinic/,0,1,0,10
https://potshops.ca/listing/crown-point-cannabis/,0,2,0,7
https://potshops.ca/listing/dr-greenthumb-dispensary-inc-moncton/,0,36,0,11.027777777777779
https://potshops.ca/listing/dr-greenthumb/,0,1,0,4
https://potshops.ca/listing/eden-2/,0,65,0,45.646153846153844
