query,clicks,impressions,ctr,position
leaf dispensary,0,11,0,4.545454545454545
leaf dispensary near me,0,2,0,3.5
leaf near me,0,1,0,8
leaf store near me,0,1,0,8
leaf weed store,0,2,0,5.5
leafs,0,5,0,6.2
lift dispensary,0,1,0,59
limelife greenroom login,0,1,0,50
local guide program,0,26,0,1
local herb collective,0,2,0,29
local herbalist near me,0,1,0,8
lotus dispensary,0,2,0,22
magic mushroom store,0,1,0,1
main st cannabis,0,1,0,96
main st dispensary,0,1,0,45
main street cannabis,0,1,0,94
main street cannabis co,0,1,0,67
main street dispensary,0,4,0,66.75
marihuana montreal,0,2,0,100.5
marijuana dispensary,0,2,0,70
marijuana dispensary calgary,0,1,0,109
marijuana dispensary commercial drive,0,20,0,71.5
marijuana dispensary halifax,0,13,0,50.53846153846154
marijuana dispensary moncton,0,5,0,37.8
marijuana express,0,1,0,30
marijuana fort macleod,0,2,0,91
marijuana green,0,1,0,5
marijuana moncton,0,5,0,88.8
marijuanas near me,0,1,0,5
marijuanas store,0,1,0,9
marijuanas stores near me,0,1,0,3
maritime dispensary,0,29,0,17
maritime medicinals,0,5,0,39.2
maritime smoke,0,2,0,53
mary jane canabis,0,1,0,85
mary jane cannabis,0,4,0,89.75
mary jane dispensary,0,3,0,50.333333333333336
mary jane dispensary near me,0,2,0,47.5
mary jane pot,0,4,0,63.25
mary jane store,0,8,0,87.75
mary jane weed,0,11,0,79.0909090909091
mary jane's,0,13,0,96.61538461538461
mary jane's cannabis,0,3,0,61
mary jane's closet,0,1,0,6
mary jane's dispensary,0,4,0,43
mary jane's dispensary near me,0,3,0,49.333333333333336
mary janes alderville,0,1,0,29
mary janes canabis,0,1,0,60
mary janes cannabis,0,1,0,67
mary janes closet,0,1,0,8
mary janes dispensary,0,2,0,37.5
mary janes kingston,0,1,0,76
mary janes roseneath,0,2,0,67.5
mary janes weed,0,2,0,59.5
maryjane's,0,1,0,75
maryjanes,0,16,0,91.125
maryjanes cannabis,0,1,0,64
mcc delivery,0,1,0,2
mcrci,0,1,0,33
medcan halifax,0,1,0,72
medical cannabis dispensary,0,1,0,7
medical cannabis prescription canada,0,4,0,93.5
medical dispensary,0,1,0,1
medical dispensary near me,0,2,0,16.5
medical dispensary vancouver,0,1,0,88
medical marijuana group,0,25,0,46.96
medical marijuana hamilton,0,1,0,96
medical marijuana hamilton ontario,0,1,0,96
medical marijuana maple ridge,0,1,0,80
medical near me,0,1,0,9
medical remedy express,0,5,0,81.2
medical shop near me,0,2,0,9.5
medical store near me,0,1,0,2
medication dispensary,0,1,0,4
medician shop,0,1,0,1
medicinal dispensary,0,1,0,5
medicinal dispensary vancouver,0,2,0,76.5
medicine cabinet dispensary,0,2,0,7.5
medicine man,0,1,0,90
medicine man dispensary,0,4,0,12.25
medicine man medicinals,0,1,0,71
medicine shop,0,1,0,7
merry janes,0,21,0,80.71428571428571
merry janes calgary,0,8,0,97.625
mike bites where to buy near me,0,1,0,6
miracle leaf near me,0,1,0,1
mister greens,0,4,0,35.25
mmj,0,4,0,96.5
mmj canada,0,1,0,8
mohawk cannabis,0,5,0,10.8
mohawk flower cannabis dispensary,0,3,0,8
mohawk weed store,0,1,0,9
moncton dispensaries,0,1,0,28
moncton dispensary,0,1,0,48
moncton marijuana,0,1,0,46
moncton marijuana dispensary,0,1,0,44
mount herbal,0,6,0,51.166666666666664
mount pleasant dispensary,0,4,0,41.75
mount zion church toronto,0,9,0,79.33333333333333
mount zion rasta,0,1,0,8
mount zion rastafari,0,1,0,8
mountain cannabis club,0,4,0,4
mountain greenery,0,168,0,11.196428571428571
mountain greenery 420,0,181,0,8.027624309392266
mr green ca,0,1,0,70
mr green cannabis,0,6,0,6
mr green dispensary,0,9,0,3.5555555555555554
mr green weed,0,1,0,6
mr green's,0,1,0,10
mr greens,0,33,0,37.93939393939394
mr greens dispensary,0,10,0,14.6
mr. greens,0,7,0,21
mr. greens dispensary,0,1,0,4
mr.greens,0,1,0,6
mrgreens,0,3,0,4
muha meds dual chamber,0,1,0,4
mushroom gummies near me,0,1,0,1
mushroom microdose gummies near me,0,1,0,1
nanaimo dispensaries still open,0,14,0,61.142857142857146
nanaimo dispensary near me,0,3,0,79
national access cannabis,0,6,0,23.166666666666668
native weed shops near me,0,1,0,1
nature's green halifax,0,1,0,47
natures green halifax,0,1,0,5
nb cannabis fredericton,0,2,0,69
neem leaf near me,0,2,0,1.5
nelson bc dispensary,0,20,0,55
nelson cannabis,0,2,0,80
nelson dispensary,0,57,0,66.12280701754386
nelson potorium,0,28,0,33.214285714285715
new west weed delivery,0,2,0,79
new westminster weed delivery,0,71,0,82.91549295774648
nova scotia dispensary,0,7,0,14.714285714285714
nslc cannabis,0,1,0,1
ocean grown collective,0,1,0,26
og farm,0,6,0,89.83333333333333
okanagan dispensary,0,1,0,46
online dispensary canada best,0,11,0,91.9090909090909
online dispensary fredericton,0,177,0,65.40112994350282
online dispensary kamloops,0,9,0,90.11111111111111
open dispensaries,0,1,0,6
open dispensaries near me,0,1,0,6
open dispensary,0,1,0,10
orangeville ontario pot,0,8,0,42.875
orginal farm,0,8,0,85.75
original farm,0,58,0,84.84482758620689
original farm cannabis,0,11,0,67.36363636363636
original farm cannabis victoria reviews,0,19,0,47.31578947368421
"original farm cannabis victoria, bc",0,10,0,80.9
original farm downtown,0,70,0,31.685714285714287
original farm hillside,0,90,0,41.32222222222222
original farm langford,0,2,0,66
original farm victoria,0,25,0,53.2
original farm victoria bc,0,1,0,39
original farms,0,7,0,82.28571428571429
originalfarm,0,9,0,89.66666666666667
orignal farm,0,4,0,89.5
packman disposable flavors,0,1,0,5
peacemaker strain,0,44,0,41.59090909090909
peacemaker weed,0,1,0,64
peacemakers strain,0,45,0,26.933333333333334
penticton dispensary,0,1,0,77
pharm dispensary,0,2,0,42.5
pharmacy near me,0,1,0,1
phyven,0,68,0,4.544117647058823
piffery,0,2,0,9.5
pineapple dispensary,0,10,0,48.7
pineapple express dispensary,0,216,0,20.375
pineapple express dispensary toronto,0,8,0,83.875
pineapple express esquimalt,0,60,0,15.466666666666667
pineapple express hours,0,2,0,30
pineapple express victoria,0,229,0,15.751091703056769
pineapple express victoria bc,0,43,0,33.651162790697676
pineapple victoria,0,46,0,65.65217391304348
pineview grass station,0,1,0,23
playground casino chateauguay,0,1,0,50
port alberni cannabis,0,9,0,43.888888888888886
port alberni dispensary,0,19,0,45.578947368421055
port union ontario edibles,0,1,0,29
pot dispensaries maple ridge,0,2,0,92
pot dispensary,0,7,0,90.42857142857143
pot dispensary calgary,0,18,0,47.77777777777778
pot doctor,0,6,0,70
pot doctor penticton,0,13,0,24.153846153846153
pot near me,0,4,0,61.75
pot shop,0,186,0,68.14516129032258
pot shop calgary,0,7,0,43.142857142857146
pot shop commercial drive,0,19,0,75.3157894736842
pot shop orangeville ontario,0,4,0,34.75
pot shop vancouver,0,1,0,53
pot shop victoria,0,7,0,93.85714285714286
pot shops,0,2,0,9
pot shops calgary,0,16,0,61.3125
pot shops in calgary,0,2,0,44
pot shops kamloops,0,2,0,68.5
pot shops nanaimo,0,166,0,61.80722891566265
pot shops near me,0,1,0,9
pot shops open,0,1,0,9
pot shops vancouver bc,0,1,0,60
pot store calgary,0,5,0,85.8
pot stores calgary,0,4,0,90.5
pot stores in calgary,0,9,0,59.44444444444444
pot stores near me,0,1,0,10
pot+shop,0,1,0,46
potorium,0,156,0,15.301282051282051
potorium nelson,0,53,0,28.452830188679247
potorium nelson bc,0,22,0,34.22727272727273
potshop,0,14,0,49.07142857142857
rasta church,0,1,0,4
rasta temple,0,1,0,5
rastafari church,0,3,0,74
rastafari church near me,0,7,0,6.285714285714286
rastafari near me,0,1,0,68
rastafarian church,0,11,0,48.27272727272727
rastafarian church near me,0,27,0,6.62962962962963
rastafarian churches near me,0,2,0,6
rastafarian near me,0,2,0,77
re leaf dispensary,0,1,0,8
recreational cannabis nanaimo,0,2,0,34.5
recreational marijuana nanaimo,0,12,0,48.25
recreational weed nanaimo,0,1,0,37
releaf dispensary,0,1,0,4
releaf vending machine,0,1,0,19
rf green leaf,0,1,0,7
rmcc calgary,0,1,0,70
rocket chronic canada,0,55,0,4.527272727272727
rocketchronic,0,254,0,5.078740157480315
rocky mountain canabis,0,1,0,10
rocky mountain cannabis,0,1,0,48
rocky mountain dispensary near me,0,1,0,11
sacred leaf,0,1,0,2
saint john pot shops,0,2,0,34
salmon arm cannabis,0,2,0,54.5
salmon arm dispensaries,0,4,0,17
salmon arm dispensary,0,5,0,37.6
sativa leaves,0,1,0,6
shannonville dispensary,0,10,0,39.5
shilajit near me,0,1,0,4
shop kahnawake,0,22,0,43.13636363636363
smoke on the water dispensary,0,31,0,13.096774193548388
smoke on the water shannonville,0,3,0,47.666666666666664
smoke on the water tyendinaga,0,70,0,12.014285714285714
smoke on the water weed shop,0,2,0,13
smoke signal smoke shop,0,1,0,79
"smoke signals convenience shop, grocery store",0,1,0,21
smoke signals deseronto,0,10,0,10.8
smoke signals dispensary,0,8,0,40.125
smoke signals hamilton,0,1,0,23
smoke signals smoke shop,0,2,0,41
smoke signals tyendinaga,0,4,0,22.5
society,0,1,0,4
soma leaf,0,2,0,72
springfield dispensary,0,1,0,6
starbuds hfx,0,1,0,57
stores near me,0,5,0,26.2
surrey weed delivery surrey bc,0,26,0,79.1923076923077
tasty budds,0,3,0,24
tasty buds,0,1,0,9
tgs dispensary,0,1,0,9
thc kahnawake,0,28,0,7.857142857142857
thc main st,0,1,0,83
thc main street,0,1,0,75
thc oil nanaimo,0,53,0,80.37735849056604
the altered nation,0,7,0,61.857142857142854
the altered native,0,11,0,39.36363636363637
the cafe dispensary,0,9,0,50.111111111111114
the compassion club,0,13,0,48.84615384615385
the dispensary vancouver,0,1,0,71
the farm cannabis,0,3,0,7.333333333333333
the farm dispensary,0,8,0,45.125
the farm dispensary victoria,0,11,0,7.7272727272727275
the farm downtown,0,106,0,12.216981132075471
the farm hillside,0,68,0,74.41176470588235
the farm original,0,7,0,64.71428571428572
the farm victoria,0,10,0,70.5
the farm weed dispensary,0,1,0,9
the farmacy,0,28,0,59.714285714285715
the farmacy dispensary,0,6,0,16.5
the golden mile ontario edibles,0,1,0,29
the grass station,0,127,0,38.68503937007874
the grass station dispensary,0,100,0,43.05
the green dispensary,0,1,0,5
the green house dispensary,0,1,0,16
the green leaf,0,156,0,53.73076923076923
the green leaf dispensary,0,2,0,7
the green leaf restaurant,0,1,0,1
the green shop,0,1,0,7
the green society,0,253,0,15.434782608695652
the greenery dispensary,0,9,0,74
the greenhouse dispensary,0,9,0,19.666666666666668
the healing tree,0,34,0,54.85294117647059
the healing tree vancouver,0,43,0,49.83720930232558
the herb,0,3,0,44
the herb center,0,2,0,45
the herb co,0,11,0,34.81818181818182
the herbal center,0,1,0,100
the herbal centre,0,1,0,8
the herbal company,0,1,0,88
the highrollers kahnawake,0,3,0,14.666666666666666
the honey pot,0,5,0,52.4
the honeypot,0,1,0,65
the joint kahnawake,0,23,0,39.73913043478261
the medical dispensary,0,1,0,8
the original farm,0,72,0,73.26388888888889
the original farm downtown,0,17,0,33.23529411764706
the original farm hillside,0,57,0,39.31578947368421
the original farm langford,0,1,0,64
the original farm victoria,0,5,0,28.4
the pot doctor,0,10,0,52.1
the pot doctor penticton,0,5,0,26
the pot doctor | tpd penticton | indigenous cannabis dispensary | penticton |,0,6,0,11.333333333333334
the pot doctor | tpd penticton | indigenous cannabis dispensary | penticton | reviews,0,2,0,15
the pot shop,0,18,0,12.055555555555555
the potorium,0,33,0,31.303030303030305
the potshop,0,1,0,69
the weed store deseronto photos,0,1,0,100
three kings dispensary,0,3,0,15.333333333333334
tintyre,0,1,0,5
top shelf bud,0,5,0,89.4
top shelf cannabis fredericton,0,22,0,15.409090909090908
top shelf dispensary,0,38,0,77.6842105263158
top shelf fredericton,0,30,0,20.9
top shelf smoke shop fredericton,0,1,0,20
top shelf trading post,0,14,0,9.357142857142858
top shelf weed,0,2,0,90.5
topshelf dispensary,0,17,0,79
toronto dispensary kensington,0,7,0,86.85714285714286
tpd boutique,0,42,0,5
trees dispensary,0,10,0,29.4
trees dispensary victoria,0,5,0,31
trees dispo,0,1,0,34
trees victoria,0,5,0,95.8
tyendinaga dispensaries,0,2,0,18.5
tyendinaga dispensary,0,5,0,26
tyendinaga mohawk territory dispensary,0,2,0,65.5
tyendinaga mohawk territory smoke shops,0,1,0,1
tyendinaga pot shops,0,3,0,31
tyendinaga smoke shops,0,1,0,45
tyendinaga stores,0,1,0,21
urban dispensary,0,4,0,40
urban meds,0,17,0,71
vancity weed vancouver,0,4,0,71.75
vancouver bc dispensary,0,1,0,90
vancouver dispensary,0,3,0,92
vancouver dispensary society,0,14,0,69.42857142857143
vancouver marijuana dispensary,0,1,0,101
vape,0,1,0,1
vernon dispensaries,0,2,0,61.5
vernon dispensary,0,9,0,66.11111111111111
veterans for healing,0,11,0,72.0909090909091
veterans for healing reviews,0,1,0,41
weast coast canabis,0,1,0,85
weed clones canada,0,2,0,88
weed dartmouth,0,1,0,74
weed delivery arbutus ridge bc,0,54,0,38.851851851851855
weed delivery gastown,0,20,0,84.9
weed delivery kensington-cedar cottage bc,0,8,0,35.875
weed delivery surrey & langley,0,6,0,96.66666666666667
weed delivery west point grey bc,0,9,0,85.44444444444444
weed dispensary,0,1,0,10
weed dispensary dartmouth,0,2,0,65
weed dispensary fredericton,0,3,0,50.333333333333336
weed dispensary halifax,0,13,0,61.84615384615385
weed dispensary salmon arm,0,4,0,44.75
weed dispensary vancouver,0,1,0,98
weed fredericton,0,3,0,65
weed in halifax,0,12,0,73
weed in kahnawake,0,69,0,8.376811594202898
weed near me maps,0,2,0,10
weed shop halifax,0,2,0,95
weed shops halifax,0,1,0,74
weed shops in fredericton,0,1,0,56
weed store dartmouth,0,1,0,73
weed store downtown victoria,0,2,0,63
weed store fredericton,0,1,0,80
weed store fredericton nb,0,5,0,47.2
weed store kitsilano,0,3,0,56.666666666666664
weed store near me,0,1,0,1
weed store near to me,0,1,0,12
weed store nelson,0,18,0,85.94444444444444
weed stores fredericton,0,2,0,79.5
weed stores halifax,0,3,0,78.66666666666667
weed stores open now,0,2,0,11
weedmaps london,0,5,0,88.8
weedmaps vancouver,0,1,0,81
weeds - cannabis store and delivery,0,1,0,61
weeds dispensary,0,22,0,87
weeds shop,0,1,0,90
weeds store,0,26,0,70.07692307692308
weeds vancouver,0,2,0,76
weedsgg,0,5,0,5
west kelowna dispensary,0,11,0,89.54545454545455
west kelowna medical marijuana dispensary,0,3,0,63.666666666666664
what is the best online dispensary canada,0,1,0,88
where can i buy hemp seed oil,0,1,0,8
where can i get mushroom gummies,0,1,0,5
where green society,0,1,0,1
where to buy cannabis in london,0,1,0,1
where to buy cannabis topicals in fort macleod,0,5,0,70
where to buy cbd capsules in fort macleod,0,3,0,80.33333333333333
where to buy mullein near me,0,3,0,9.333333333333334
where to buy rick simpson oil,0,3,0,3.3333333333333335
where to buy sweet grass near me,0,1,0,10
where to buy weed in halifax,0,121,0,85.98347107438016
where to buy white widow strain,0,1,0,10
where to buy wildflower cbd relief stick,0,1,0,7
who sells cbd gummies near me,0,3,0,6.333333333333333
wildflower cbd relief stick,0,1,0,5
wildflower cbd relief stick where to buy,0,1,0,6
york on edibles,0,2,0,60.5
zen dispensary,0,4,0,20.25
zen leaf,0,1,0,93
zenleaf dispensary,0,1,0,19
zenleaf gummies,0,1,0,12
zoomers dispensary vancouver,0,1,0,53
