query,clicks,impressions,ctr,position
bloom medical,0,14,0,65.57142857142857
bloom medicinal,0,1,0,8
bloom medicinals,0,1,0,60
bud and beyond,0,1,0,77
budd,0,2,0,6
budds,0,1,0,12
buddys cannabis,0,4,0,60.5
buds and beyond,0,4,0,42
buds forever,0,3,0,22
burning leaf kahnawake,0,4,0,13.5
buy clones canada,0,2,0,73
buy pot calgary,0,10,0,63.7
buy weed online châteauguay,0,26,0,60.26923076923077
c a f e dispensary,0,1,0,75
cafe 420 dispensary,0,1,0,12
cafe 66,0,27,0,55.333333333333336
cafe 66 fort york,0,42,0,10.452380952380953
cafe 66 toronto,0,22,0,37.22727272727273
cafe canabis,0,9,0,53.44444444444444
cafe cannabis,0,25,0,64.96000000000001
cafe cannabis toronto,0,2,0,53
cafe cannibis,0,12,0,68
cafe dispensary,0,408,0,79.55392156862744
cafe dispensary fort york,0,27,0,25.51851851851852
cafe dispensary harbord,0,58,0,31.879310344827587
cafe dispensary hours,0,9,0,84.22222222222223
cafe dispensary locations,0,7,0,73.42857142857143
cafe dispensary near me,0,17,0,86.76470588235294
cafe dispensary toronto,0,18,0,41
"cafe dispensary toronto, on",0,7,0,39.285714285714285
cafe dispensery,0,5,0,74.6
cafe dispo,0,5,0,69
cafe edibles,0,39,0,17.076923076923077
cafe fort,0,52,0,22.01923076923077
cafe fort york,0,311,0,42.68810289389067
cafe harbord,0,83,0,51.13253012048193
cafe harbord st,0,4,0,57
cafe harbord street,0,3,0,64.66666666666666
cafe on harbord,0,41,0,46.58536585365854
cafe pot,0,4,0,63.75
cafe toronto dispensary,0,21,0,41.904761904761905
cafe toronto harbord,0,3,0,71.33333333333333
cafe weed shop,0,16,0,62.0625
cafe weed store,0,6,0,66.5
cafe66,0,31,0,22.806451612903224
calgary cannabis club,0,17,0,63.588235294117645
calgary dispensaries,0,2,0,102.5
calgary dispensary,0,2,0,96.5
calgary dispenseries,0,1,0,110
calgary pot,0,24,0,84.16666666666667
calgary pot shops,0,9,0,47.333333333333336
calgary pot stores,0,2,0,46
call 420 delivery,0,1,0,15
call420 delivery,0,6,0,7.5
cana king,0,2,0,7.5
cana kings,0,2,0,10.5
canabis autour de moi,0,1,0,12
canabis halifax,0,2,0,71
canabis nb fredericton,0,1,0,67
canabis restigouche,0,1,0,6
canabise culture,0,1,0,49
canabo,0,5,0,3.8
canabo clinic,0,2,0,37.5
canada dispensary paypal,0,3,0,79.33333333333333
canadian dispensary list,0,1,0,94
canafarms,0,2,0,35.5
canibis store near.me,0,1,0,20
canna clinic,0,1,0,43
canna clinic vancouver,0,9,0,22.77777777777778
canna culture,0,3,0,25
canna era,0,1,0,74
canna express,0,2,0,75
canna farms,0,16,0,37.9375
canna farms hope bc,0,6,0,42
canna farms phone number,0,1,0,35
canna for life,0,1,0,70
canna jacks,0,2,0,60.5
canna king,0,16,0,67.375
canna kings,0,4,0,10.75
canna kings medicinals,0,36,0,12.805555555555555
canna leaf fredericton,0,2,0,33.5
"canna queens - fredericton nb, medical cannabis dispensary, fredericton",0,22,0,53.36363636363637
cannabis and fine edibles,0,110,0,13.645454545454545
cannabis club,0,3,0,10.333333333333334
cannabis culture,0,10,0,33.2
cannabis culture dispensary,0,12,0,20
cannabis culture vancouver,0,5,0,36
cannabis dartmouth,0,3,0,88.33333333333333
cannabis dispensary,0,3,0,51.666666666666664
cannabis dispensary commercial drive,0,31,0,65.54838709677419
cannabis dispensary fort macleod,0,8,0,68.125
cannabis dispensary halifax,0,192,0,55.744791666666664
"cannabis dispensary in gastown, vancouver bc",0,13,0,69.38461538461539
cannabis emporium,0,1,0,8
cannabis express,0,1,0,20
cannabis express near me,0,1,0,69
cannabis for life,0,1,0,5
cannabis fredericton,0,1,0,67
cannabis halifax,0,1,0,83
cannabis ice cream near me,0,2,0,7
cannabis jack's,0,2,0,8.5
cannabis kitsilano,0,1,0,29
cannabis klub,0,2,0,10.5
cannabis london ontario,0,1,0,41
cannabis mary jane,0,1,0,98
cannabis nb fredericton,0,11,0,70.0909090909091
cannabis port alberni,0,4,0,46.5
cannabis restigouche,0,1,0,10
cannabis society,0,2,0,39
cannabis specialist doctor,0,4,0,101
cannabis store dartmouth,0,1,0,77
cannabis store fredericton,0,1,0,56
cannabis store near me,0,2,0,10.5
cannabis store near me open now,0,1,0,4
cannabis stores halifax,0,3,0,79.33333333333333
cannabis stores orangeville,0,1,0,68
cannabisculture,0,2,0,48
cannabliss,0,2,0,55
cannabliss dispensary,0,3,0,31.666666666666668
cannadas,0,24,0,6.75
cannader,0,1,0,8
cannafarm,0,2,0,49
cannafarms,0,13,0,36.30769230769231
cannaleaf pens reviews,0,1,0,66
cannalife botanicals,0,1,0,74
cannamed,0,1,0,53
cannamed dispensary,0,8,0,15.25
cannamobile,0,6,0,30.5
cannamobile calgary,0,1,0,64
cannamobile vancouver,0,1,0,40
cannapy,0,7,0,65.28571428571429
cannibis culture,0,26,0,73.73076923076923
cbd capsules in fort macleod,0,3,0,84
cbd oil halifax,0,10,0,75.1
cbd topicals in fort macleod,0,9,0,76.55555555555556
cbg where to buy,0,1,0,10
chemainus dispensary,0,1,0,22
chronic releaf,0,1,0,10
clone canada,0,76,0,58.9078947368421
clones bc,0,1,0,96
clones canada,0,5,0,79.8
clones for sale bc,0,3,0,62.333333333333336
closest dispensary to me,0,1,0,11
club cannabis,0,1,0,6
club compassion,0,7,0,73.28571428571429
coast dispensary,0,2,0,80
coastal bedford,0,12,0,68.16666666666667
coastal bedford sackville,0,8,0,39.5
coastal canabis,0,3,0,84
coastal canna,0,17,0,80.05882352941177
coastal cannabinoids,0,13,0,83.23076923076923
coastal cannabis,0,13,0,84.46153846153847
coastal cannabis halifax,0,3,0,30.333333333333332
coastal cannapy delivery service,0,64,0,57.171875
coastal cannibis,0,13,0,88.07692307692308
coastal canopy,0,1,0,81
coastal canopy dartmouth,0,2,0,43.5
coastal canopy halifax,0,10,0,20.1
coastal capital dispensary,0,1,0,41
coastal dartmouth,0,2,0,90.5
coastal deliveries,0,1,0,100
coastal delivery,0,58,0,87.74137931034483
coastal delivery bedford,0,12,0,37.583333333333336
coastal delivery bedford sackville,0,6,0,29
coastal delivery bridgewater,0,1,0,58
coastal delivery dartmouth,0,24,0,47.375
coastal delivery halifax,0,79,0,55.32911392405063
coastal delivery halifax menu,0,3,0,60.333333333333336
coastal delivery halifax rates,0,1,0,22
coastal delivery kentville,0,2,0,49.5
coastal delivery moncton,0,2,0,35
coastal delivery nova scotia,0,7,0,53.42857142857143
coastal delivery sackville,0,7,0,49.57142857142857
coastal delivery service,0,2,0,60
coastal dispensary,0,11,0,65.9090909090909
coastal halifax,0,47,0,81.82978723404256
coastal halifax delivery,0,14,0,43.285714285714285
coastal halifax menu,0,1,0,99
coastal halifax weed,0,26,0,26.03846153846154
coastal hfx,0,67,0,59.56716417910448
coastal hfx dartmouth,0,16,0,56.9375
coastal moncton weed,0,1,0,55
coastal sackville,0,2,0,69
coastal valley bud,0,1,0,73
coastal weed,0,2,0,89
coastal weed delivery,0,7,0,70.71428571428571
coastal weed delivery dartmouth,0,8,0,28.125
coastal weed delivery halifax,0,23,0,34.26086956521739
coastal weed dispensary,0,7,0,50.285714285714285
coastal weed halifax,0,8,0,28.125
coastaldelivery,0,1,0,96
coastals,0,2,0,85.5
cole harbour dispensary,0,1,0,48
colwood dispensary,0,5,0,57.2
compassion club,0,14,0,33.42857142857143
compassion club canada,0,6,0,60
compassion in motion,0,361,0,5.988919667590028
compassion in motion vancouver,0,3,0,4.333333333333334
compassion medicals,0,8,0,43.5
compassionate club,0,3,0,74
consultation marijuana,0,1,0,97
costal cannabis,0,4,0,82
costal delivery,0,2,0,85.5
costal halifax,0,5,0,90.8
costal weed,0,5,0,92.2
crown leaf cannabis,0,1,0,56
culture canna,0,2,0,56.5
culture cannabis ottawa,0,4,0,38.5
curaleaf,0,1,0,4
cush club,0,1,0,11
dartmouth dispensary,0,35,0,40.17142857142857
davie dispensary,0,3,0,22
deliver 420,0,3,0,52
delivered 420,0,1,0,73
delivery 420,0,11,0,45.54545454545455
delta nine,0,2,0,73
delta nine dispensary,0,1,0,4
deltanine,0,3,0,32.33333333333333
deseronto dispensary,0,2,0,55.5
dispenary near me,0,1,0,1
dispencery,0,1,0,1
dispensaries,0,10,0,8.8
dispensaries calgary,0,3,0,93.33333333333333
dispensaries commercial drive,0,3,0,75
dispensaries in calgary,0,2,0,99
dispensaries open,0,2,0,3
dispensaries open near me,0,1,0,9
dispensaries open until 10,0,1,0,10
dispensaries vancouver,0,2,0,93
dispensary cafe,0,14,0,66.57142857142857
dispensary calgary,0,4,0,93
dispensary canada,0,2,0,12.5
dispensary cole harbour,0,6,0,54.166666666666664
dispensary dartmouth,0,3,0,54.333333333333336
dispensary davie,0,1,0,63
dispensary downtown calgary,0,27,0,98
dispensary downtown victoria,0,6,0,45
dispensary fort macleod,0,1,0,96
dispensary fredericton,0,72,0,47.97222222222222
dispensary halifax nova scotia,0,12,0,46.5
dispensary hamilton mountain,0,19,0,64.52631578947368
dispensary hastings,0,3,0,44.333333333333336
dispensary in calgary,0,1,0,94
dispensary in calgary canada,0,3,0,96
dispensary in halifax,0,29,0,50.758620689655174
dispensary in springfield,0,1,0,12
dispensary kahnawake,0,188,0,10.47872340425532
dispensary main st,0,2,0,79
dispensary main street,0,5,0,76
dispensary moncton,0,10,0,46.4
dispensary mount pleasant,0,5,0,6
dispensary near me calgary,0,3,0,91.33333333333333
dispensary near me open,0,7,0,6.714285714285714
dispensary near me open now,0,14,0,8.142857142857142
dispensary near me open now within 1.6 km,0,1,0,1
dispensary near me within 1.6 km,0,1,0,2
dispensary near metrotown,0,1,0,98
dispensary nearby,0,3,0,25
dispensary nelson,0,38,0,62.473684210526315
dispensary nelson bc,0,16,0,60.25
dispensary north saanich,0,42,0,60.642857142857146
dispensary nova scotia,0,4,0,25
dispensary open late,0,1,0,9
dispensary open near me open now,0,1,0,8
dispensary open right now,0,1,0,8
dispensary open till 12am near me,0,1,0,7
dispensary port alberni,0,19,0,47.21052631578947
dispensary salmon arm,0,4,0,35
dispensary shawnigan lake,0,1,0,42
dispensary springfield,0,1,0,7
dispensary tyendinaga,0,1,0,55
dispensary vancouver,0,5,0,97.4
dispensary vernon,0,17,0,48.76470588235294
dispensary west kelowna,0,1,0,90
dispensary.,0,1,0,12
dispensery,0,1,0,10
doctor green,0,1,0,10
downtown vancouver dispensary,0,6,0,87
dr greenthumb dispensary,0,1,0,11
drive through dispensary,0,1,0,6
drive thru dispensary,0,7,0,38.857142857142854
drug dispensary,0,1,0,8
eden canabis,0,1,0,6
eden cannabis,0,4,0,27
eden cannabis dispensary,0,1,0,12
eden dispensary,0,19,0,36.36842105263158
eden edibles,0,1,0,24
eden weed,0,1,0,47
eden weed dispensary,0,1,0,9
eden weed shop,0,1,0,3
edible cafe,0,7,0,69.57142857142857
edibles cafe,0,15,0,37.86666666666667
edibles coffee shop,0,15,0,67.93333333333334
edibles golden mile ontario,0,6,0,26.5
